"dataset_name","groupKeys","id","model_name","name","test_best_historical_mae","test_best_historical_mse","test_best_historical_mse_Target_Bitcoin","test_best_historical_mse_Target_Ethereum","test_best_historical_r2","test_best_historical_rmse"
"crypto","group-omp_deeptime_crypto_in105_out15_nonzero15_noise_gaussian_std0.5_vsparsity_benchmarking_multiplelookback","5hxxejj0","omp_deeptime","omp_deeptime_crypto_in105_out15_nonzero15_noise_gaussian_std0.5_vsparsity_benchmarking_multiplelookback_seed1439108_tol1e-3","0.35408262467443014","0.2543080617159157","0.2543080617159157","undefined","-1.754625206921816","0.41571630903935336"
"traffic","group-omp_deeptime_traffic_in672_out96_nonzero45_noise_gaussian_std1.0_vsparsity_benchmarking_multiplelookback","8z34jhfd","omp_deeptime","omp_deeptime_traffic_in672_out96_nonzero45_noise_gaussian_std1.0_vsparsity_benchmarking_multiplelookback_seed1439092_tol1e-3","0.29608488384616466","0.18545895258836023","undefined","undefined","0.9004596053131279","0.40337187596456214"
"crypto","group-inrplay_deeptime_crypto_in105_out15_noise_gaussian_std0.5_vsparsity_benchmarking_gaus","tmc3za75","inrplay_deeptime","inrplay_deeptime_crypto_in105_out15_noise_gaussian_std0.5_vsparsity_benchmarking_gaus_seed1439110","0.35955715757894063","0.2562563378507864","0.2562563378507864","undefined","-1.9000084074116372","0.42111462826330853"
"crypto","group-mixture_experts_deeptime_crypto_in105_out15_K15_noise_gaussian_std0.5_vsparsity_benchmarking_gaus","bebiii17","mixture_experts_deeptime","mixture_experts_deeptime_crypto_in105_out15_K15_noise_gaussian_std0.5_vsparsity_benchmarking_gaus_seed1439109","0.3526974077006195","0.25615600250694187","0.25615600250694187","undefined","-1.6107410412047327","0.414047868266033"
"crypto","group-deeptime_crypto_in105_out15_noise_gaussian_std0.5_vsparsity_benchmarking_gaus","0crudi33","deeptime","deeptime_crypto_in105_out15_noise_gaussian_std0.5_vsparsity_benchmarking_gaus_seed1439106","0.361268338455112","0.25652673596230574","0.25652673596230574","undefined","-2.0282091552521004","0.4224629848538285"
"traffic","group-mixture_experts_deeptime_traffic_in672_out96_K45_noise_gaussian_std0.5_vsparsity_benchmarking_gaus","sk5d2neb","mixture_experts_deeptime","mixture_experts_deeptime_traffic_in672_out96_K45_noise_gaussian_std0.5_vsparsity_benchmarking_gaus_seed1439098","0.2538857245479103","0.1563474646344239","undefined","undefined","0.9184634890514466","0.3592395282304565"
"etth2","group-deeptime_etth2_in288_out96_noise_gaussian_std1.0_vsparsity_benchmarking_gaus","j62yn8pq","deeptime","deeptime_etth2_in288_out96_noise_gaussian_std1.0_vsparsity_benchmarking_gaus_seed1439086","0.31891608539712596","0.16218891678552833","undefined","undefined","-0.9382019676926832","0.3781288999205636"
"etth2","group-inrplay_deeptime_etth2_in288_out96_noise_gaussian_std0.5_vsparsity_benchmarking_gaus","tj30pgl4","inrplay_deeptime","inrplay_deeptime_etth2_in288_out96_noise_gaussian_std0.5_vsparsity_benchmarking_gaus_seed1439098","0.29878534687510977","0.14612402432415503","undefined","undefined","-0.8812114713623673","0.3570363121333287"
"crypto","group-nbeats_crypto_in105_out15_noise_gaussian_std1.0_vsparsity_benchmarking_gaus","h7nbuizm","nbeats","nbeats_crypto_in105_out15_noise_gaussian_std1.0_vsparsity_benchmarking_gaus_seed1439106","0.3673136861596372","0.26907606911032295","0.26907606911032295","undefined","-1.9737674334667816","0.4310373282893315"
"traffic","group-mixture_experts_deeptime_traffic_in672_out96_K45_noise_gaussian_std1.0_vsparsity_benchmarking_gaus","mqyxv146","mixture_experts_deeptime","mixture_experts_deeptime_traffic_in672_out96_K45_noise_gaussian_std1.0_vsparsity_benchmarking_gaus_seed1439097","0.3152393937011575","0.20878912914412576","undefined","undefined","0.8885605122959961","0.42996893668636094"
