"dataset_name","groupKeys","id","model_name","name","noise_std","test_best_historical_mse","test_best_historical_mse_Target_Bitcoin","test_best_historical_mse_Target_Ethereum"
"etth2","group-omp_deeptime_etth2_in288_out96_nonzero105_noise_laplace_std1.0_vsparsity_benchmarking","2i3o6yof","omp_deeptime","omp_deeptime_etth2_in288_out96_nonzero105_noise_laplace_std1.0_vsparsity_benchmarking_seed1355524_tol1e-3","1","0.22677431695680597","undefined","undefined"
"undefined","group-naive_martingle_exchange_rate_in96_out96_noise_laplace_std1.0_vsparsity_benchmarking","o8q0rhcg","undefined","naive_martingle_exchange_rate_in96_out96_noise_laplace_std1.0_vsparsity_benchmarking_seed1355558","undefined","1.1822531255997744","undefined","undefined"
"undefined","group-naive_martingle_etth2_in96_out96_noise_laplace_std0.5_vsparsity_benchmarking","v7sj6lb2","undefined","naive_martingle_etth2_in96_out96_noise_laplace_std0.5_vsparsity_benchmarking_seed1355556","undefined","0.5254333624479196","undefined","undefined"
"undefined","group-naive_martingle_traffic_in96_out96_noise_laplace_std0.5_vsparsity_benchmarking","jlryyuhe","undefined","naive_martingle_traffic_in96_out96_noise_laplace_std0.5_vsparsity_benchmarking_seed1355558","undefined","3.8929927612401976","undefined","undefined"
"undefined","group-naive_martingle_exchange_rate_in96_out96_noise_laplace_std0.5_vsparsity_benchmarking","tmonylve","undefined","naive_martingle_exchange_rate_in96_out96_noise_laplace_std0.5_vsparsity_benchmarking_seed1355558","undefined","0.3563254441061089","undefined","undefined"
"undefined","group-naive_martingle_exchange_rate_in96_out96_noise_laplace_std0_vsparsity_benchmarking","xfitzlix","undefined","naive_martingle_exchange_rate_in96_out96_noise_laplace_std0_vsparsity_benchmarking_seed1355558","undefined","0.08746863624481742","undefined","undefined"
"undefined","group-naive_martingle_etth2_in96_out96_noise_laplace_std0_vsparsity_benchmarking","h257o4nf","undefined","naive_martingle_etth2_in96_out96_noise_laplace_std0_vsparsity_benchmarking_seed1355556","undefined","0.2955736907937905","undefined","undefined"
"undefined","group-naive_martingle_traffic_in96_out96_noise_laplace_std0_vsparsity_benchmarking","u41m5ymk","undefined","naive_martingle_traffic_in96_out96_noise_laplace_std0_vsparsity_benchmarking_seed1355558","undefined","3.627775521956047","undefined","undefined"
"undefined","group-naive_martingle_exchange_rate_in96_out96_noise_laplace_std1.0_vsparsity_benchmarking","0frtfzog","undefined","naive_martingle_exchange_rate_in96_out96_noise_laplace_std1.0_vsparsity_benchmarking_seed1355557","undefined","0.9943970375383172","undefined","undefined"
"etth2","group-deeptime_etth2_in288_out96_noise_laplace_std0.5_vsparsity_benchmarking","7lmgyxik","deeptime","deeptime_etth2_in288_out96_noise_laplace_std0.5_vsparsity_benchmarking_seed1355520","0.5","0.1430070219832991","undefined","undefined"
"undefined","group-naive_martingle_exchange_rate_in96_out96_noise_laplace_std0.5_vsparsity_benchmarking","0kahztpr","undefined","naive_martingle_exchange_rate_in96_out96_noise_laplace_std0.5_vsparsity_benchmarking_seed1355557","undefined","0.3133408003789716","undefined","undefined"
"undefined","group-naive_martingle_etth2_in96_out96_noise_laplace_std1.0_vsparsity_benchmarking","isy6nzqd","undefined","naive_martingle_etth2_in96_out96_noise_laplace_std1.0_vsparsity_benchmarking_seed1355555","undefined","1.3532477411825574","undefined","undefined"
"undefined","group-naive_martingle_traffic_in96_out96_noise_laplace_std1.0_vsparsity_benchmarking","zebb9p2e","undefined","naive_martingle_traffic_in96_out96_noise_laplace_std1.0_vsparsity_benchmarking_seed1355557","undefined","4.607421099181326","undefined","undefined"
"undefined","group-naive_martingle_exchange_rate_in96_out96_noise_laplace_std0_vsparsity_benchmarking","f7dxon1i","undefined","naive_martingle_exchange_rate_in96_out96_noise_laplace_std0_vsparsity_benchmarking_seed1355557","undefined","0.08746863624481742","undefined","undefined"
"undefined","group-naive_martingle_traffic_in96_out96_noise_laplace_std0.5_vsparsity_benchmarking","0tkgc75d","undefined","naive_martingle_traffic_in96_out96_noise_laplace_std0.5_vsparsity_benchmarking_seed1355557","undefined","3.8730077430351986","undefined","undefined"
"undefined","group-naive_martingle_etth2_in96_out96_noise_laplace_std0.5_vsparsity_benchmarking","8piqims9","undefined","naive_martingle_etth2_in96_out96_noise_laplace_std0.5_vsparsity_benchmarking_seed1355555","undefined","0.5608931490548923","undefined","undefined"
"undefined","group-naive_martingle_exchange_rate_in96_out96_noise_laplace_std1.0_vsparsity_benchmarking","hwmun0mr","undefined","naive_martingle_exchange_rate_in96_out96_noise_laplace_std1.0_vsparsity_benchmarking_seed1355556","undefined","1.090610121171167","undefined","undefined"
"undefined","group-naive_martingle_exchange_rate_in96_out96_noise_laplace_std0.5_vsparsity_benchmarking","vbuq8mvs","undefined","naive_martingle_exchange_rate_in96_out96_noise_laplace_std0.5_vsparsity_benchmarking_seed1355556","undefined","0.3434725973896217","undefined","undefined"
"undefined","group-naive_martingle_traffic_in96_out96_noise_laplace_std0_vsparsity_benchmarking","b2hmuqir","undefined","naive_martingle_traffic_in96_out96_noise_laplace_std0_vsparsity_benchmarking_seed1355557","undefined","3.627775521956047","undefined","undefined"
"undefined","group-naive_martingle_etth2_in96_out96_noise_laplace_std0_vsparsity_benchmarking","c1imw9v2","undefined","naive_martingle_etth2_in96_out96_noise_laplace_std0_vsparsity_benchmarking_seed1355555","undefined","0.2955736907937905","undefined","undefined"
"undefined","group-naive_martingle_exchange_rate_in96_out96_noise_laplace_std0_vsparsity_benchmarking","au6ezc4u","undefined","naive_martingle_exchange_rate_in96_out96_noise_laplace_std0_vsparsity_benchmarking_seed1355556","undefined","0.08746863624481742","undefined","undefined"
"etth2","group-deeptime_etth2_in288_out96_noise_laplace_std0_vsparsity_benchmarking","9xdxqole","deeptime","deeptime_etth2_in288_out96_noise_laplace_std0_vsparsity_benchmarking_seed1355520","0","0.12779760920242397","undefined","undefined"
"traffic","group-deeptime_traffic_in672_out96_noise_laplace_std0.5_vsparsity_benchmarking","omd6qs1w","deeptime","deeptime_traffic_in672_out96_noise_laplace_std0.5_vsparsity_benchmarking_seed1355520","0.5","0.13210236718185453","undefined","undefined"
